,id_atividade,exportVersion,latitude,longitude,startTime,stopTime,distance,name,timeZoneOffset,kiloCalories
0,1,1.2,-23.0,-43.4,2016-01-01 18:52:47.797,2016-01-01 19:26:47.565,4866.0,,,
1,2,1.2,-15.8,-47.9,2016-01-09 16:58:39.000,2016-01-09 17:48:16.000,6107.7001953125,,,
2,3,1.2,,,2016-01-18 21:54:51.000,2016-01-18 21:59:42.000,,,,
3,4,1.2,,,2016-01-18 21:09:44.000,2016-01-18 21:54:08.000,,,,
4,5,1.2,-15.8,-47.9,2016-01-31 09:22:51.000,2016-01-31 10:32:49.000,10074.0,,,
5,6,1.2,,,2016-02-02 11:30:50.000,2016-02-02 12:12:53.000,,,,
6,7,1.2,,,2016-02-03 19:00:25.000,2016-02-03 19:50:01.000,,,,
7,8,1.2,,,2016-02-05 20:05:17.000,2016-02-05 20:52:56.000,,,,
8,9,1.2,,,2016-02-12 12:11:32.000,2016-02-12 13:01:31.000,,,,
9,10,1.2,-15.8,-47.9,2016-02-14 15:55:42.000,2016-02-14 16:53:49.000,7400.2001953125,,,
10,11,1.2,,,2016-02-15 12:10:16.000,2016-02-15 12:58:28.000,,,,
11,12,1.2,,,2016-02-15 11:26:54.000,2016-02-15 12:03:54.000,,,,
12,13,1.2,-15.8,-47.9,2016-02-21 15:33:10.000,2016-02-21 16:46:50.000,8288.400390625,,,
13,14,1.2,,,2016-02-22 18:17:28.000,2016-02-22 19:03:40.250,,,,
14,15,1.2,,,2016-02-23 11:47:41.000,2016-02-23 12:16:50.000,,,,
15,16,1.2,,,2016-03-08 11:03:24.000,2016-03-08 11:34:25.000,,,,
16,17,1.2,,,2016-03-09 20:06:37.000,2016-03-09 20:55:03.000,,,,
17,18,1.2,,,2016-03-11 12:14:25.000,2016-03-11 13:01:51.000,,,,
18,19,1.2,,,2016-03-11 11:36:59.000,2016-03-11 12:02:44.000,,,,
19,20,1.2,,,2016-03-18 12:15:47.000,2016-03-18 12:55:19.375,,,,
20,21,1.2,,,2016-03-21 20:02:05.000,2016-03-21 20:48:54.000,,,,
21,22,1.2,,,2016-03-23 18:43:54.000,2016-03-23 19:21:21.000,,,,
22,23,1.2,,,2016-03-23 20:01:17.000,2016-03-23 20:52:44.000,,,,
23,24,1.2,,,2016-03-29 11:18:13.000,2016-03-29 11:57:15.000,,,,
24,25,1.2,,,2016-03-29 12:12:33.000,2016-03-29 12:59:16.000,,,,
25,26,1.2,,,2016-04-04 19:58:44.000,2016-04-04 20:51:30.000,,,,
26,27,1.2,,,2016-04-05 21:17:13.018,2016-04-05 21:38:25.355,3180.0,,,
27,28,1.2,,,2016-04-06 19:20:38.000,2016-04-06 19:46:36.000,,,,
28,29,1.2,,,2016-04-06 19:59:14.000,2016-04-06 20:50:16.000,,,,
29,30,1.2,,,2016-04-07 20:36:12.000,2016-04-07 20:57:12.000,,,,
30,31,1.2,,,2016-04-13 19:43:02.000,2016-04-13 20:08:56.000,,,,
31,32,1.2,,,2016-04-13 20:12:26.000,2016-04-13 20:48:49.000,,,,
32,33,1.2,,,2016-04-16 17:15:42.000,2016-04-16 17:40:05.000,,,,
33,34,1.2,,,2016-04-16 17:41:43.000,2016-04-16 17:52:53.000,,,,
34,35,1.2,,,2016-04-20 19:59:22.000,2016-04-20 20:52:15.000,,,,
35,36,1.2,,,2016-04-23 18:14:42.000,2016-04-23 18:40:44.000,,,,
36,37,1.2,,,2016-04-23 18:41:35.000,2016-04-23 18:56:44.000,,,,
37,38,1.2,-15.8,-47.9,2016-04-30 10:30:38.000,2016-04-30 11:15:15.000,4383.10009765625,,,
38,39,1.2,,,2016-05-02 20:04:12.000,2016-05-02 20:50:43.000,,,,
39,40,1.2,,,2016-05-04 21:12:21.255,2016-05-04 21:28:09.666,2540.0,,,
40,41,1.2,,,2016-05-04 20:40:55.000,2016-05-04 21:09:43.000,,,,
41,42,1.2,,,2016-05-05 12:13:53.000,2016-05-05 12:58:57.000,,,,
42,43,1.2,,,2016-05-05 11:43:50.000,2016-05-05 12:05:19.000,,,,
43,44,1.2,-15.8,-47.9,2016-05-08 08:05:49.000,2016-05-08 09:24:24.000,13734.7998047,,,
44,45,1.2,,,2016-05-10 11:28:59.000,2016-05-10 11:53:22.000,,,,
45,46,1.2,,,2016-05-10 12:11:58.000,2016-05-10 12:59:05.000,,,,
46,47,1.2,,,2016-05-12 12:12:47.000,2016-05-12 12:50:27.000,,,,
47,48,1.2,,,2016-05-13 11:50:44.000,2016-05-13 12:17:01.000,,,,
48,49,1.2,,,2016-05-13 12:21:10.000,2016-05-13 13:03:58.000,,,,
49,50,1.2,,,2016-05-16 20:06:44.000,2016-05-16 20:50:14.000,,,,
50,51,1.2,,,2016-06-02 11:09:43.000,2016-06-02 11:41:26.000,,,,
51,52,1.2,-15.8,-47.9,2016-06-25 17:55:28.000,2016-06-25 18:28:06.000,4603.2998046875,,,
52,53,1.2,,,2016-06-27 19:06:46.000,2016-06-27 19:51:36.125,,,,
53,54,1.2,,,2016-06-28 19:15:00.000,2016-06-28 19:46:20.000,,,,
54,55,1.2,,,2016-06-28 19:48:53.000,2016-06-28 19:53:57.000,,,,
55,56,1.2,,,2016-06-29 20:06:44.000,2016-06-29 20:53:41.000,,,,
56,57,1.2,,,2016-07-12 12:14:15.000,2016-07-12 12:59:40.000,,,,
57,58,1.2,-15.8,-47.9,2016-07-18 18:01:52.000,2016-07-18 18:42:05.000,4615.0,,,
58,59,1.2,,,2016-07-19 12:08:14.000,2016-07-19 13:00:15.000,,,,
59,60,1.2,,,2016-07-21 12:18:46.000,2016-07-21 12:57:50.000,,,,
60,61,1.2,-15.8,-47.9,2016-07-25 12:24:13.000,2016-07-25 12:56:39.000,875.9000244140625,,,
61,62,1.2,,,2016-08-04 15:03:23.000,2016-08-04 15:58:41.125,,,,
62,63,1.2,,,2016-08-12 16:24:22.000,2016-08-12 16:58:06.000,,,,
63,64,1.2,,,2016-08-15 19:59:35.000,2016-08-15 20:54:59.000,,,,
64,65,1.2,,,2016-08-17 11:58:34.000,2016-08-17 12:31:47.000,,,,
65,66,1.2,-15.8,-47.9,2016-08-17 19:00:34.000,2016-08-17 19:50:20.000,5090.10009765625,,,
66,67,1.2,,,2016-08-18 12:38:32.000,2016-08-18 13:22:35.000,,,,
67,68,1.2,,,2016-08-19 12:09:00.000,2016-08-19 13:00:11.000,,,,
