,id_exercicio,id_atividade,startTime,stopTime,distance,sport,latitude,longitude,timeZoneOffset,kiloCalories,cadence_avg,cadence_max
0,1,1,2016-01-01 18:52:47.797,2016-01-01 19:26:47.565,4866.0,RUNNING,-23.0,-43.4,,,0,0
1,2,2,2016-01-09 16:58:39.000,2016-01-09 17:47:59.250,6107.7001953125,RUNNING,-15.8,-47.9,,,0,0
2,3,3,2016-01-18 21:54:51.000,2016-01-18 21:59:42.000,,OTHER_INDOOR,,,,,0,0
3,4,4,2016-01-18 21:09:44.000,2016-01-18 21:54:07.875,,STRENGTH_TRAINING,,,,,0,0
4,5,5,2016-01-31 09:22:51.000,2016-01-31 10:32:48.875,10074.0,RUNNING,-15.8,-47.9,,,84,105
5,6,6,2016-02-02 11:30:50.000,2016-02-02 12:12:52.500,,OTHER_INDOOR,,,,,0,0
6,7,7,2016-02-03 19:00:25.000,2016-02-03 19:50:00.625,,POOL_SWIMMING,,,,,0,0
7,8,8,2016-02-05 20:05:17.000,2016-02-05 20:52:56.000,,POOL_SWIMMING,,,,,0,0
8,9,9,2016-02-12 12:11:32.000,2016-02-12 13:01:30.750,,POOL_SWIMMING,,,,,0,0
9,10,10,2016-02-14 15:55:42.000,2016-02-14 16:53:43.500,7400.2001953125,RUNNING,-15.8,-47.9,,,69,111
10,11,11,2016-02-15 12:10:16.000,2016-02-15 12:58:28.000,,POOL_SWIMMING,,,,,0,0
11,12,12,2016-02-15 11:26:54.000,2016-02-15 12:03:53.625,,OTHER_INDOOR,,,,,0,0
12,13,13,2016-02-21 15:33:10.000,2016-02-21 16:46:49.375,8288.400390625,RUNNING,-15.8,-47.9,,,65,107
13,14,14,2016-02-22 18:17:28.000,2016-02-22 19:03:40.250,,POOL_SWIMMING,,,,,0,0
14,15,15,2016-02-23 11:47:41.000,2016-02-23 12:16:42.875,,OTHER_INDOOR,,,,,0,0
15,16,16,2016-03-08 11:03:24.000,2016-03-08 11:34:24.375,,OTHER_INDOOR,,,,,0,0
16,17,17,2016-03-09 20:06:37.000,2016-03-09 20:55:01.875,,POOL_SWIMMING,,,,,0,0
17,18,18,2016-03-11 12:14:25.000,2016-03-11 13:01:37.875,,POOL_SWIMMING,,,,,0,0
18,19,19,2016-03-11 11:36:59.000,2016-03-11 12:02:43.500,,OTHER_INDOOR,,,,,0,0
19,20,20,2016-03-18 12:15:47.000,2016-03-18 12:55:19.375,,OTHER_INDOOR,,,,,0,0
20,21,21,2016-03-21 20:02:05.000,2016-03-21 20:48:53.500,,POOL_SWIMMING,,,,,0,0
21,22,22,2016-03-23 18:43:54.000,2016-03-23 19:21:19.875,,OTHER_INDOOR,,,,,0,0
22,23,23,2016-03-23 20:01:17.000,2016-03-23 20:52:43.500,,POOL_SWIMMING,,,,,0,0
23,24,24,2016-03-29 11:18:13.000,2016-03-29 11:57:14.125,,OTHER_INDOOR,,,,,0,0
24,25,25,2016-03-29 12:12:33.000,2016-03-29 12:59:15.750,,POOL_SWIMMING,,,,,0,0
25,26,26,2016-04-04 19:58:44.000,2016-04-04 20:51:29.625,,POOL_SWIMMING,,,,,0,0
26,27,27,2016-04-05 21:17:13.018,2016-04-05 21:38:25.355,3180.0,RUNNING,,,,,0,0
27,28,28,2016-04-06 19:20:38.000,2016-04-06 19:46:36.000,,OTHER_INDOOR,,,,,0,0
28,29,29,2016-04-06 19:59:14.000,2016-04-06 20:50:07.375,,POOL_SWIMMING,,,,,0,0
29,30,30,2016-04-07 20:36:12.000,2016-04-07 20:57:11.625,,OTHER_INDOOR,,,,,0,0
30,31,31,2016-04-13 19:43:02.000,2016-04-13 20:08:56.000,,OTHER_INDOOR,,,,,0,0
31,32,32,2016-04-13 20:12:26.000,2016-04-13 20:48:48.625,,POOL_SWIMMING,,,,,0,0
32,33,33,2016-04-16 17:15:42.000,2016-04-16 17:40:04.375,,OTHER_INDOOR,,,,,0,0
33,34,34,2016-04-16 17:41:44.000,2016-04-16 17:52:53.500,,OTHER_INDOOR,,,,,0,0
34,35,35,2016-04-20 19:59:22.000,2016-04-20 20:52:14.125,,POOL_SWIMMING,,,,,0,0
35,36,36,2016-04-23 18:14:42.000,2016-04-23 18:40:42.250,,STRENGTH_TRAINING,,,,,0,0
36,37,37,2016-04-23 18:41:35.000,2016-04-23 18:56:43.875,,OTHER_INDOOR,,,,,0,0
37,38,38,2016-04-30 10:30:38.000,2016-04-30 11:05:03.875,4383.10009765625,RUNNING,-15.8,-47.9,,,86,107
38,39,39,2016-05-02 20:04:12.000,2016-05-02 20:50:41.750,,POOL_SWIMMING,,,,,0,0
39,40,40,2016-05-04 21:12:21.255,2016-05-04 21:28:09.666,2540.0,RUNNING,,,,,0,0
40,41,41,2016-05-04 20:40:55.000,2016-05-04 21:09:42.875,,OTHER_INDOOR,,,,,0,0
41,42,42,2016-05-05 12:13:53.000,2016-05-05 12:58:48.125,,POOL_SWIMMING,,,,,0,0
42,43,43,2016-05-05 11:43:50.000,2016-05-05 12:05:17.125,,OTHER_INDOOR,,,,,0,0
43,44,44,2016-05-08 08:05:49.000,2016-05-08 09:24:22.375,13734.7998047,RUNNING,-15.8,-47.9,,,88,110
44,45,45,2016-05-10 11:28:59.000,2016-05-10 11:53:20.000,,STRENGTH_TRAINING,,,,,0,0
45,46,46,2016-05-10 12:11:58.000,2016-05-10 12:58:55.875,,POOL_SWIMMING,,,,,0,0
46,47,47,2016-05-12 12:12:47.000,2016-05-12 12:50:25.125,,STRENGTH_TRAINING,,,,,0,0
47,48,48,2016-05-13 11:50:44.000,2016-05-13 12:17:00.500,,STRENGTH_TRAINING,,,,,0,0
48,49,49,2016-05-13 12:21:10.000,2016-05-13 13:03:56.500,,POOL_SWIMMING,,,,,0,0
49,50,50,2016-05-16 20:06:44.000,2016-05-16 20:50:13.500,,POOL_SWIMMING,,,,,0,0
50,51,51,2016-06-02 11:09:43.000,2016-06-02 11:41:24.375,,STRENGTH_TRAINING,,,,,0,0
51,52,52,2016-06-25 17:55:28.000,2016-06-25 18:28:05.750,4603.2998046875,RUNNING,-15.8,-47.9,,,79,113
52,53,53,2016-06-27 19:06:46.000,2016-06-27 19:51:36.125,,POOL_SWIMMING,,,,,0,0
53,54,54,2016-06-28 19:15:00.000,2016-06-28 19:46:19.750,,STRENGTH_TRAINING,,,,,0,0
54,55,55,2016-06-28 19:48:53.000,2016-06-28 19:53:56.375,,OTHER_INDOOR,,,,,0,0
55,56,56,2016-06-29 20:06:44.000,2016-06-29 20:53:40.750,,POOL_SWIMMING,,,,,0,0
56,57,57,2016-07-12 12:14:15.000,2016-07-12 12:59:39.125,,POOL_SWIMMING,,,,,0,0
57,58,58,2016-07-18 18:01:52.000,2016-07-18 18:42:03.500,4615.0,RUNNING,-15.8,-47.9,,,74,115
58,59,59,2016-07-19 12:08:14.000,2016-07-19 13:00:14.750,,POOL_SWIMMING,,,,,0,0
59,60,60,2016-07-21 12:18:46.000,2016-07-21 12:57:49.625,,POOL_SWIMMING,,,,,0,0
60,61,61,2016-07-25 12:24:13.000,2016-07-25 12:56:38.875,875.9000244140625,OPEN_WATER_SWIMMING,-15.8,-47.9,,,0,0
61,62,62,2016-08-04 15:03:23.000,2016-08-04 15:58:41.125,,OTHER_INDOOR,,,,,0,0
62,63,63,2016-08-12 16:24:22.000,2016-08-12 16:58:05.875,,OTHER_INDOOR,,,,,0,0
63,64,64,2016-08-15 19:59:35.000,2016-08-15 20:54:58.375,,POOL_SWIMMING,,,,,0,0
64,65,65,2016-08-17 11:58:34.000,2016-08-17 12:31:46.250,,STRENGTH_TRAINING,,,,,0,0
65,66,66,2016-08-17 19:00:34.000,2016-08-17 19:48:39.789,5090.10009765625,RUNNING,-15.8,-47.9,,,67,113
66,67,67,2016-08-18 12:38:32.000,2016-08-18 13:22:34.625,,STRENGTH_TRAINING,,,,,0,0
67,68,68,2016-08-19 12:09:00.000,2016-08-19 13:00:10.500,,POOL_SWIMMING,,,,,0,0
68,69,69,2016-08-20 16:37:15.000,2016-08-20 17:23:32.875,,STRENGTH_TRAINING,,,,,0,0
69,70,70,2016-08-24 18:19:31.000,2016-08-24 18:59:51.875,,POOL_SWIMMING,,,,,0,0
70,71,71,2016-08-29 11:51:08.000,2016-08-29 12:02:16.000,,TREADMILL_RUNNING,,,,,0,0
71,72,72,2016-08-29 11:19:55.000,2016-08-29 11:50:05.500,,STRENGTH_TRAINING,,,,,0,0
72,73,73,2016-08-29 12:11:37.000,2016-08-29 13:00:16.250,,POOL_SWIMMING,,,,,0,0
73,74,74,2016-08-30 17:24:20.000,2016-08-30 18:07:21.625,3522.5,OTHER_OUTDOOR,-2.5,-55.0,,,0,0
74,75,75,2016-08-30 13:56:40.000,2016-08-30 14:42:31.394,1862.0,WALKING,-2.4,-54.7,,,53,68
75,76,76,2016-09-01 16:51:26.000,2016-09-01 18:56:36.192,7792.60009765625,WALKING,-2.4,-54.7,,,54,111
76,77,77,2016-09-02 16:34:50.000,2016-09-02 16:59:30.125,817.0,WALKING,-2.4,-54.7,,,60,67
77,78,78,2016-09-05 19:22:22.000,2016-09-05 19:48:53.750,,STRENGTH_TRAINING,,,,,0,0
78,79,79,2016-09-05 19:58:25.000,2016-09-05 20:48:35.250,,POOL_SWIMMING,,,,,0,0
79,80,80,2016-09-07 16:09:45.000,2016-09-07 17:48:03.227,22233.19921875,CYCLING,-15.8,-47.9,,,0,0
80,81,81,2016-09-09 12:14:53.000,2016-09-09 13:01:47.125,,POOL_SWIMMING,,,,,0,0
81,82,82,2016-09-10 15:48:16.000,2016-09-10 16:31:02.504,8113.5,CYCLING,-15.8,-47.9,,,0,0
82,83,83,2016-09-12 09:16:06.000,2016-09-12 10:03:16.000,14980.2001953125,CYCLING,-15.8,-47.9,,,0,0
83,84,84,2016-09-13 09:58:44.000,2016-09-13 10:32:21.125,,STRENGTH_TRAINING,,,,,0,0
84,85,85,2016-09-13 10:36:49.000,2016-09-13 10:52:50.000,1800.0,TREADMILL_RUNNING,,,,,0,0
85,86,86,2016-09-14 08:16:47.000,2016-09-14 08:57:00.000,,POOL_SWIMMING,,,,,0,0
86,87,87,2016-09-15 11:09:32.000,2016-09-15 11:36:00.625,,STRENGTH_TRAINING,,,,,0,0
