,id_exercicio,id_atividade,id_zona_heart,lowerLimit,higherLimit,zoneIndex
0,2,2,1,99,119,1
1,2,2,2,119,139,2
2,2,2,3,139,158,3
3,2,2,4,158,178,4
4,2,2,5,178,198,5
5,5,5,6,99,119,1
6,5,5,7,119,139,2
7,5,5,8,139,158,3
8,5,5,9,158,178,4
9,5,5,10,178,198,5
10,10,10,11,99,119,1
11,10,10,12,119,139,2
12,10,10,13,139,158,3
13,10,10,14,158,178,4
14,10,10,15,178,198,5
15,13,13,16,99,119,1
16,13,13,17,119,139,2
17,13,13,18,139,158,3
18,13,13,19,158,178,4
19,13,13,20,178,198,5
20,38,38,21,99,119,1
21,38,38,22,119,139,2
22,38,38,23,139,158,3
23,38,38,24,158,178,4
24,38,38,25,178,198,5
25,44,44,26,99,119,1
26,44,44,27,119,139,2
27,44,44,28,139,158,3
28,44,44,29,158,178,4
29,44,44,30,178,198,5
30,52,52,31,99,119,1
31,52,52,32,119,139,2
32,52,52,33,139,158,3
33,52,52,34,158,178,4
34,52,52,35,178,198,5
35,58,58,36,99,118,1
36,58,58,37,118,138,2
37,58,58,38,138,158,3
38,58,58,39,158,177,4
39,58,58,40,177,197,5
40,61,61,41,99,118,1
41,61,61,42,118,138,2
42,61,61,43,138,158,3
43,61,61,44,158,177,4
44,61,61,45,177,197,5
45,66,66,46,99,118,1
46,66,66,47,118,138,2
47,66,66,48,138,158,3
48,66,66,49,158,177,4
49,66,66,50,177,197,5
50,74,74,51,99,118,1
51,74,74,52,118,138,2
52,74,74,53,138,158,3
53,74,74,54,158,177,4
54,74,74,55,177,197,5
55,75,75,56,99,118,1
56,75,75,57,118,138,2
57,75,75,58,138,158,3
58,75,75,59,158,177,4
59,75,75,60,177,197,5
60,76,76,61,99,118,1
61,76,76,62,118,138,2
62,76,76,63,138,158,3
63,76,76,64,158,177,4
64,76,76,65,177,197,5
65,77,77,66,99,118,1
66,77,77,67,118,138,2
67,77,77,68,138,158,3
68,77,77,69,158,177,4
69,77,77,70,177,197,5
70,80,80,71,99,118,1
71,80,80,72,118,138,2
72,80,80,73,138,158,3
73,80,80,74,158,177,4
74,80,80,75,177,197,5
75,82,82,76,99,118,1
76,82,82,77,118,138,2
77,82,82,78,138,158,3
78,82,82,79,158,177,4
79,82,82,80,177,197,5
80,83,83,81,99,118,1
81,83,83,82,118,138,2
82,83,83,83,138,158,3
83,83,83,84,158,177,4
84,83,83,85,177,197,5
85,89,89,86,99,118,1
86,89,89,87,118,138,2
87,89,89,88,138,158,3
88,89,89,89,158,177,4
89,89,89,90,177,197,5
90,90,90,91,99,118,1
91,90,90,92,118,138,2
92,90,90,93,138,158,3
93,90,90,94,158,177,4
94,90,90,95,177,197,5
95,91,91,96,99,118,1
96,91,91,97,118,138,2
97,91,91,98,138,158,3
98,91,91,99,158,177,4
99,91,91,100,177,197,5
100,95,95,101,99,118,1
101,95,95,102,118,138,2
102,95,95,103,138,158,3
